pointId,pointType,title,address,lon,lat,fractions,scheduleDescription,rating_score
11199,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Обручева, 34/63",37.538972,55.653999000000006,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11200,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, МКАД 47-й километр вл31с1",37.429977,55.658758999999996,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11202,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, пр-т Вернадского, 86А",37.48130999999999,55.663463,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11204,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Ленинский проспект вл109",37.511445,55.663842,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11205,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Одинцово, Можайское шоссе 71",37.281225,55.67789499999998,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11206,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Мичуринский пр-т, Олимпийская деревня, 3к1",37.46792800000001,55.67810000000001,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11207,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Люберцы, Октябрьский проспект, 112",37.877527,55.68513200000001,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11208,RC,"Пункт приёма батареек в магазине ""М.Видео""","Москва, улица Большая Черёмушкинская, 1",37.60188399999999,55.690273,BATAREJKI,,0.5
11209,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, пр-кт Андропова, 8",37.664714,55.69598199999998,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11211,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Одинцово, улица Минское шоссе, 19-й км",37.343573,55.69931099999998,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11212,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Зеленодольская, 40",37.765696000000005,55.703837,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11214,RC,"Пункт приёма техники в магазине ""М.Видео""","Москва, улица Вавилова, 3",37.592096000000005,55.706883,BYTOVAJA_TEHNIKA,,0.0
11216,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Большая Тульская, 13",37.622034,55.708253,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11217,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Рязанский пр-т, 28с1",37.778964,55.718986,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11218,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Одинцовский р-н, 55-56 км МКАД, Хорошевский пр., 14",37.380224999999996,55.719839999999984,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11219,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Жуковский, улица Гагарина, 67",37.379832,55.720306,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11221,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Славянский бульвар 13с1",37.463826,55.72555399999998,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11222,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Россия, Москва, Кутузовский проспект, 57",37.475416,55.72768,BYTOVAJA_TEHNIKA,,1.0
11223,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Россия, Москва, Новокосинская улица, 14А",37.856702,55.737797999999984,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11224,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Марксистская, 1к1",37.658322999999996,55.740750999999996,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11226,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, пл. Киевского Вокзала, д. 2",37.565357,55.745261,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11227,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, шоссе Энтузиастов, 12к2",37.707098,55.74736299999999,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11228,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Реутов, Носовихинское шоссе, 45",37.887246999999995,55.752282999999984,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11229,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Свободный проспект 33",37.819307,55.752784,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11231,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Красная Пресня, 23Бс1",37.56812,55.76145699999999,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11232,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Рублёвское шоссе, 62",37.37899099999999,55.767148,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11233,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Трубная площадь 2",37.622333,55.766491,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11234,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Садовая-Спасская, 3с3",37.641808,55.771291,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11235,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Хорошёвское шоссе, 27",37.52384399999999,55.776608999999986,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11236,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Народного Ополчения 28к1",37.481567,55.78144299999999,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11238,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Русаковская, 22",37.678836999999994,55.78645499999999,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11239,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Ходынский б-р, 4",37.526849,55.79034600000001,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11242,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Балашиха, шоссе Энтузиастов, 36А",37.93926799999999,55.793728,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11243,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Большая Черкизовская, 1к1",37.715673,55.796896,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11244,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Красногорский район, Новорижское шоссе, вл. 2с1",37.274593,55.799243,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11245,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, проспект Мира 91к1",37.635278,55.805355999999996,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11246,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Строгинский бульвар 1",37.39545499999999,55.806043999999986,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11249,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Красногорск, Международная улица, 12",37.38620199999999,55.82103199999999,"BYTOVAJA_TEHNIKA,BATAREJKI",Режим работы требует уточнения,1.0
11250,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Ленинградское ш., д. 16А, стр. 4",37.498257,55.824412,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11251,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Красногорск, улица Ленина, 35А",37.308175,55.82946099999999,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11252,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Дмитровское ш., 43к1",37.57168599999999,55.833586999999994,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
